author/canDm,author/canMediaTag,author/coverPicture,author/createdAt,author/description,author/entities/url/urls/0/display_url,author/entities/url/urls/0/indices/0,author/entities/url/urls/0/indices/1,author/entities/url/urls/0/url,author/favouritesCount,author/followers,author/following,author/hasCustomTimelines,author/id,author/isBlueVerified,author/isTranslator,author/isVerified,author/location,author/mediaCount,author/name,author/possiblySensitive,author/profilePicture,author/status,author/statusesCount,author/twitterUrl,author/type,author/url,author/userName,author/verifiedType,createdAt,text,media/0,media/1,media/2,media/3,twitterUrl,inReplyToUsername,isReply,isQuote
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Tue Feb 28 13:00:07 +0000 2023,"Keadilan adalah mimpi setiap insan. 
Sejahtera adalah muara perjuangan. Bersama @PKSejahtera kita bergandengan tangan. 
Menang bersama rakyat, tuntaskan tujuan.

#untukIndonesia
https://t.co/DB7PpoYizU",,,,,https://twitter.com/aniesbaswedan/status/1630553434519900163,,False,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Tue Feb 28 08:00:00 +0000 2023,"Perjalanan deklarasi Anies Baswedan sebagai Bakal Calon Presiden Republik Indonesia 2024-2029 dari Partai Keadilan Sejahtera, 23 Februari 2023.
#AniesBaswedan #PKS #PartaiKeadilanSejahtera @pksejahtera #deklarasi #capres #pilpres2024 #UntukIndonesia https://t.co/3ssPTmH2XY",https://pbs.twimg.com/media/FqCLLFoacAQRDJk.jpg,,,,https://twitter.com/aniesbaswedan/status/1630477906802507777,,False,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Mon Feb 27 13:30:05 +0000 2023,"Untuk pertama kalinya cerita cara bertahan hidup ketika kuliah di Amerika Serikat, dengan berjualan online…

#AniesBaswedan #MerryRiana @MerryRiana #podcast #mahasiswa #kuliahluarnegeri #jualanonline #olshop #untukindonesia

https://t.co/b9d4kDhS3c",,,,,https://twitter.com/aniesbaswedan/status/1630198586746208257,,False,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Sun Feb 26 12:30:54 +0000 2023,"Selamat jalan panutan kita semua. Lahu alfatihah

https://t.co/7NiQoFp75B https://t.co/7CKOJ7vyIu",https://pbs.twimg.com/media/Fp5J1HkaMAE_fia.jpg,,,,https://twitter.com/aniesbaswedan/status/1629821306832318475,aniesbaswedan,True,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Sun Feb 26 12:30:50 +0000 2023,"البقاء لله إنالله وإنا إليه راجعون

ُKeabadian hanya milik Allah. 

Meski demikian, begitu terhenyak saat mendengar kabar KH Ali Yafie wafat. Langsung terdiam dan membacakan alfatihah untuk beliau. https://t.co/sHrlwafysm",https://pbs.twimg.com/media/Fp5J0E9aIAIjbps.jpg,,,,https://twitter.com/aniesbaswedan/status/1629821288113111045,,False,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Sat Feb 25 12:06:58 +0000 2023,https://t.co/T5lJKKYUcg,,,,,https://twitter.com/aniesbaswedan/status/1629452896646594560,aniesbaswedan,True,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Sat Feb 25 12:06:54 +0000 2023,"Lampung luar biasa!
Di tengah sejuknya Lapangan Way Hui, Lampung Selatan, dan Lapangan Desa Untoro, Lampung Tengah, kita berkumpul, samakan langkah ke depan, sekaligus menegaskan kembali cita-cita republik ini.

#AniesBaswedan #SilaturahmiKebangsaan #Lampung #UntukIndonesia https://t.co/WwHywOFHlb",https://pbs.twimg.com/media/Fpz6vIgacAAqkRc.jpg,,,,https://twitter.com/aniesbaswedan/status/1629452879366066178,,False,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Sat Feb 25 07:11:23 +0000 2023,"Senang sekali bisa mampir ke Pasar Natar untuk mengawali kegiatan di Lampung. Di tempat ini kami membeli beberapa ketela, bumbu dapur, telur dan ikan, sekaligus berdialog bersama pedagang, pembeli dan tukang becak.

https://t.co/l07tWm5Wrb https://t.co/XiGxRTLujY",https://pbs.twimg.com/media/Fpy3G1XakAIweiR.jpg,,,,https://twitter.com/aniesbaswedan/status/1629378510539325440,aniesbaswedan,True,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Sat Feb 25 07:11:16 +0000 2023,"“Pak, ini singkong roti yang banyak ditanam di Lampung, rasanya krenyes seperti makan roti,” ujar pedagang itu menawarkan singkong dagangannya kepada kami.

#AniesBaswedan #PasarNatar #Lampung #UntukIndonesia https://t.co/AxrRJ6jTwe",https://pbs.twimg.com/media/Fpy3E70acAE6-sW.jpg,,,,https://twitter.com/aniesbaswedan/status/1629378479556018177,,False,False
True,True,https://pbs.twimg.com/profile_banners/110312278/1714866149,Mon Feb 01 03:23:45 +0000 2010,Akun resmi Anies Baswedan. | 🍉 🦉,linktr.ee/anies.baswedan,0,23,https://t.co/YAI01lyU0b,24290,5374747,379,True,110312278,True,False,False,Indonesia,4736,Anies Rasyid Baswedan,False,https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg,,16350,https://twitter.com/aniesbaswedan,user,https://x.com/aniesbaswedan,aniesbaswedan,,Sat Feb 25 03:00:31 +0000 2023,https://t.co/ih1DmKDqxB,,,,,https://twitter.com/aniesbaswedan/status/1629315375451217921,aniesbaswedan,True,False
